Current time: 0
Waiting people:
>>1 -> (arrT: 55; servT: 3)
>>2 -> (arrT: 25; servT: 6)
>>3 -> (arrT: 71; servT: 5)
>>4 -> (arrT: 15; servT: 8)
>>5 -> (arrT: 16; servT: 7)
>>6 -> (arrT: 55; servT: 6)
>>7 -> (arrT: 4; servT: 6)
>>8 -> (arrT: 38; servT: 6)
>>9 -> (arrT: 65; servT: 8)
>>10 -> (arrT: 29; servT: 3)
>>11 -> (arrT: 24; servT: 6)
>>12 -> (arrT: 2; servT: 6)
>>13 -> (arrT: 43; servT: 4)
>>14 -> (arrT: 80; servT: 6)
>>15 -> (arrT: 8; servT: 6)
>>16 -> (arrT: 35; servT: 4)
>>17 -> (arrT: 1; servT: 5)
>>18 -> (arrT: 7; servT: 6)
>>19 -> (arrT: 57; servT: 3)
>>20 -> (arrT: 55; servT: 8)
>>21 -> (arrT: 32; servT: 8)
>>22 -> (arrT: 24; servT: 8)
>>23 -> (arrT: 47; servT: 5)
>>24 -> (arrT: 14; servT: 8)
>>25 -> (arrT: 82; servT: 7)
>>26 -> (arrT: 39; servT: 4)
>>27 -> (arrT: 73; servT: 3)
>>28 -> (arrT: 6; servT: 8)
>>29 -> (arrT: 26; servT: 8)
>>30 -> (arrT: 27; servT: 5)
>>31 -> (arrT: 86; servT: 6)
>>32 -> (arrT: 55; servT: 7)
>>33 -> (arrT: 85; servT: 8)
>>34 -> (arrT: 45; servT: 3)
>>35 -> (arrT: 3; servT: 6)
>>36 -> (arrT: 38; servT: 8)
>>37 -> (arrT: 36; servT: 7)
>>38 -> (arrT: 7; servT: 7)
>>39 -> (arrT: 30; servT: 7)
>>40 -> (arrT: 15; servT: 4)
>>41 -> (arrT: 48; servT: 6)
>>42 -> (arrT: 69; servT: 8)
>>43 -> (arrT: 48; servT: 4)
>>44 -> (arrT: 32; servT: 4)
>>45 -> (arrT: 64; servT: 5)
>>46 -> (arrT: 15; servT: 4)
>>47 -> (arrT: 7; servT: 7)
>>48 -> (arrT: 64; servT: 8)
>>49 -> (arrT: 39; servT: 3)
>>50 -> (arrT: 38; servT: 7)
>>51 -> (arrT: 66; servT: 6)
>>52 -> (arrT: 22; servT: 5)
>>53 -> (arrT: 33; servT: 3)
>>54 -> (arrT: 60; servT: 6)
>>55 -> (arrT: 54; servT: 4)
>>56 -> (arrT: 16; servT: 8)
>>57 -> (arrT: 39; servT: 4)
>>58 -> (arrT: 1; servT: 7)
>>59 -> (arrT: 5; servT: 4)
>>60 -> (arrT: 57; servT: 8)
>>61 -> (arrT: 26; servT: 3)
>>62 -> (arrT: 16; servT: 6)
>>63 -> (arrT: 59; servT: 8)
>>64 -> (arrT: 35; servT: 8)
>>65 -> (arrT: 31; servT: 5)
>>66 -> (arrT: 46; servT: 4)
>>67 -> (arrT: 76; servT: 8)
>>68 -> (arrT: 67; servT: 7)
>>69 -> (arrT: 67; servT: 3)
>>70 -> (arrT: 10; servT: 4)
>>71 -> (arrT: 74; servT: 5)
>>72 -> (arrT: 33; servT: 7)
>>73 -> (arrT: 55; servT: 5)
>>74 -> (arrT: 54; servT: 3)
>>75 -> (arrT: 13; servT: 5)
>>76 -> (arrT: 2; servT: 6)
>>77 -> (arrT: 16; servT: 5)
>>78 -> (arrT: 36; servT: 7)
>>79 -> (arrT: 38; servT: 3)
>>80 -> (arrT: 75; servT: 3)
>>81 -> (arrT: 63; servT: 7)
>>82 -> (arrT: 13; servT: 4)
>>83 -> (arrT: 85; servT: 8)
>>84 -> (arrT: 33; servT: 8)
>>85 -> (arrT: 5; servT: 8)
>>86 -> (arrT: 34; servT: 6)
>>87 -> (arrT: 81; servT: 6)
>>88 -> (arrT: 16; servT: 7)
>>89 -> (arrT: 25; servT: 8)
>>90 -> (arrT: 27; servT: 8)
>>91 -> (arrT: 31; servT: 7)
>>92 -> (arrT: 73; servT: 6)
>>93 -> (arrT: 63; servT: 5)
>>94 -> (arrT: 85; servT: 4)
>>95 -> (arrT: 39; servT: 5)
>>96 -> (arrT: 25; servT: 7)
>>97 -> (arrT: 87; servT: 6)
>>98 -> (arrT: 42; servT: 7)
>>99 -> (arrT: 88; servT: 8)
>>100 -> (arrT: 58; servT: 5)
>>101 -> (arrT: 5; servT: 7)
>>102 -> (arrT: 60; servT: 4)
>>103 -> (arrT: 22; servT: 4)
>>104 -> (arrT: 66; servT: 6)
>>105 -> (arrT: 4; servT: 6)
>>106 -> (arrT: 3; servT: 8)
>>107 -> (arrT: 4; servT: 4)
>>108 -> (arrT: 62; servT: 3)
>>109 -> (arrT: 23; servT: 8)
>>110 -> (arrT: 53; servT: 8)
>>111 -> (arrT: 23; servT: 3)
>>112 -> (arrT: 86; servT: 4)
>>113 -> (arrT: 23; servT: 3)
>>114 -> (arrT: 16; servT: 5)
>>115 -> (arrT: 58; servT: 4)
>>116 -> (arrT: 37; servT: 4)
>>117 -> (arrT: 44; servT: 4)
>>118 -> (arrT: 62; servT: 5)
>>119 -> (arrT: 79; servT: 8)
>>120 -> (arrT: 71; servT: 8)
>>121 -> (arrT: 24; servT: 8)
>>122 -> (arrT: 80; servT: 3)
>>123 -> (arrT: 28; servT: 6)
>>124 -> (arrT: 25; servT: 8)
>>125 -> (arrT: 41; servT: 7)
>>126 -> (arrT: 29; servT: 7)
>>127 -> (arrT: 47; servT: 7)
>>128 -> (arrT: 87; servT: 4)
>>129 -> (arrT: 69; servT: 3)
>>130 -> (arrT: 83; servT: 4)
>>131 -> (arrT: 14; servT: 3)
>>132 -> (arrT: 4; servT: 4)
>>133 -> (arrT: 48; servT: 8)
>>134 -> (arrT: 83; servT: 6)
>>135 -> (arrT: 87; servT: 7)
>>136 -> (arrT: 58; servT: 8)
>>137 -> (arrT: 24; servT: 3)
>>138 -> (arrT: 38; servT: 4)
>>139 -> (arrT: 58; servT: 4)
>>140 -> (arrT: 83; servT: 3)
>>141 -> (arrT: 85; servT: 7)
>>142 -> (arrT: 81; servT: 6)
>>143 -> (arrT: 48; servT: 5)
>>144 -> (arrT: 64; servT: 6)
>>145 -> (arrT: 52; servT: 6)
>>146 -> (arrT: 76; servT: 4)
>>147 -> (arrT: 73; servT: 5)
>>148 -> (arrT: 47; servT: 7)
>>149 -> (arrT: 63; servT: 5)
>>150 -> (arrT: 52; servT: 7)
>>151 -> (arrT: 56; servT: 6)
>>152 -> (arrT: 68; servT: 5)
>>153 -> (arrT: 64; servT: 5)
>>154 -> (arrT: 88; servT: 5)
>>155 -> (arrT: 72; servT: 6)
>>156 -> (arrT: 3; servT: 8)
>>157 -> (arrT: 50; servT: 5)
>>158 -> (arrT: 90; servT: 8)
>>159 -> (arrT: 57; servT: 6)
>>160 -> (arrT: 37; servT: 7)
>>161 -> (arrT: 4; servT: 5)
>>162 -> (arrT: 9; servT: 6)
>>163 -> (arrT: 8; servT: 6)
>>164 -> (arrT: 60; servT: 3)
>>165 -> (arrT: 29; servT: 3)
>>166 -> (arrT: 73; servT: 5)
>>167 -> (arrT: 11; servT: 7)
>>168 -> (arrT: 41; servT: 4)
>>169 -> (arrT: 15; servT: 3)
>>170 -> (arrT: 23; servT: 8)
>>171 -> (arrT: 25; servT: 6)
>>172 -> (arrT: 61; servT: 5)
>>173 -> (arrT: 88; servT: 7)
>>174 -> (arrT: 21; servT: 5)
>>175 -> (arrT: 75; servT: 6)
>>176 -> (arrT: 5; servT: 4)
>>177 -> (arrT: 34; servT: 3)
>>178 -> (arrT: 31; servT: 8)
>>179 -> (arrT: 26; servT: 8)
>>180 -> (arrT: 32; servT: 5)
>>181 -> (arrT: 8; servT: 6)
>>182 -> (arrT: 7; servT: 7)
>>183 -> (arrT: 88; servT: 7)
>>184 -> (arrT: 73; servT: 3)
>>185 -> (arrT: 45; servT: 7)
>>186 -> (arrT: 27; servT: 8)
>>187 -> (arrT: 3; servT: 8)
>>188 -> (arrT: 33; servT: 4)
>>189 -> (arrT: 55; servT: 8)
>>190 -> (arrT: 64; servT: 6)
>>191 -> (arrT: 88; servT: 3)
>>192 -> (arrT: 17; servT: 3)
>>193 -> (arrT: 71; servT: 8)
>>194 -> (arrT: 85; servT: 4)
>>195 -> (arrT: 73; servT: 5)
>>196 -> (arrT: 2; servT: 3)
>>197 -> (arrT: 55; servT: 6)
>>198 -> (arrT: 40; servT: 4)
>>199 -> (arrT: 58; servT: 6)
>>200 -> (arrT: 34; servT: 5)
>>201 -> (arrT: 23; servT: 3)
>>202 -> (arrT: 59; servT: 4)
>>203 -> (arrT: 25; servT: 8)
>>204 -> (arrT: 64; servT: 8)
>>205 -> (arrT: 33; servT: 3)
>>206 -> (arrT: 41; servT: 6)
>>207 -> (arrT: 2; servT: 3)
>>208 -> (arrT: 60; servT: 6)
>>209 -> (arrT: 63; servT: 5)
>>210 -> (arrT: 73; servT: 3)
>>211 -> (arrT: 83; servT: 4)
>>212 -> (arrT: 16; servT: 5)
>>213 -> (arrT: 51; servT: 4)
>>214 -> (arrT: 45; servT: 8)
>>215 -> (arrT: 58; servT: 3)
>>216 -> (arrT: 41; servT: 5)
>>217 -> (arrT: 69; servT: 4)
>>218 -> (arrT: 55; servT: 8)
>>219 -> (arrT: 40; servT: 3)
>>220 -> (arrT: 43; servT: 7)
>>221 -> (arrT: 34; servT: 7)
>>222 -> (arrT: 71; servT: 3)
>>223 -> (arrT: 78; servT: 4)
>>224 -> (arrT: 63; servT: 7)
>>225 -> (arrT: 23; servT: 5)
>>226 -> (arrT: 33; servT: 4)
>>227 -> (arrT: 19; servT: 8)
>>228 -> (arrT: 61; servT: 5)
>>229 -> (arrT: 57; servT: 4)
>>230 -> (arrT: 37; servT: 3)
>>231 -> (arrT: 45; servT: 6)
>>232 -> (arrT: 79; servT: 7)
>>233 -> (arrT: 17; servT: 3)
>>234 -> (arrT: 17; servT: 3)
>>235 -> (arrT: 89; servT: 5)
>>236 -> (arrT: 76; servT: 3)
>>237 -> (arrT: 40; servT: 5)
>>238 -> (arrT: 47; servT: 6)
>>239 -> (arrT: 69; servT: 5)
>>240 -> (arrT: 89; servT: 5)
>>241 -> (arrT: 76; servT: 5)
>>242 -> (arrT: 8; servT: 5)
>>243 -> (arrT: 77; servT: 7)
>>244 -> (arrT: 21; servT: 7)
>>245 -> (arrT: 18; servT: 7)
>>246 -> (arrT: 38; servT: 6)
>>247 -> (arrT: 88; servT: 4)
>>248 -> (arrT: 8; servT: 7)
>>249 -> (arrT: 25; servT: 6)
>>250 -> (arrT: 7; servT: 4)
>>251 -> (arrT: 75; servT: 3)
>>252 -> (arrT: 5; servT: 3)
>>253 -> (arrT: 87; servT: 7)
>>254 -> (arrT: 1; servT: 6)
>>255 -> (arrT: 32; servT: 6)
>>256 -> (arrT: 36; servT: 7)
>>257 -> (arrT: 22; servT: 6)
>>258 -> (arrT: 45; servT: 5)
>>259 -> (arrT: 13; servT: 4)
>>260 -> (arrT: 8; servT: 6)
>>261 -> (arrT: 54; servT: 8)
>>262 -> (arrT: 40; servT: 3)
>>263 -> (arrT: 12; servT: 6)
>>264 -> (arrT: 30; servT: 3)
>>265 -> (arrT: 41; servT: 4)
>>266 -> (arrT: 69; servT: 6)
>>267 -> (arrT: 85; servT: 4)
>>268 -> (arrT: 72; servT: 7)
>>269 -> (arrT: 3; servT: 6)
>>270 -> (arrT: 72; servT: 8)
>>271 -> (arrT: 3; servT: 4)
>>272 -> (arrT: 10; servT: 6)
>>273 -> (arrT: 23; servT: 7)
>>274 -> (arrT: 70; servT: 5)
>>275 -> (arrT: 78; servT: 6)
>>276 -> (arrT: 33; servT: 5)
>>277 -> (arrT: 73; servT: 3)
>>278 -> (arrT: 70; servT: 6)
>>279 -> (arrT: 36; servT: 8)
>>280 -> (arrT: 17; servT: 5)
>>281 -> (arrT: 79; servT: 6)
>>282 -> (arrT: 1; servT: 6)
>>283 -> (arrT: 22; servT: 7)
>>284 -> (arrT: 42; servT: 6)
>>285 -> (arrT: 29; servT: 3)
>>286 -> (arrT: 51; servT: 4)
>>287 -> (arrT: 17; servT: 4)
>>288 -> (arrT: 88; servT: 8)
>>289 -> (arrT: 23; servT: 7)
>>290 -> (arrT: 18; servT: 8)
>>291 -> (arrT: 34; servT: 7)
>>292 -> (arrT: 72; servT: 7)
>>293 -> (arrT: 33; servT: 7)
>>294 -> (arrT: 69; servT: 5)
>>295 -> (arrT: 81; servT: 8)
>>296 -> (arrT: 90; servT: 6)
>>297 -> (arrT: 9; servT: 5)
>>298 -> (arrT: 72; servT: 6)
>>299 -> (arrT: 21; servT: 3)
>>300 -> (arrT: 44; servT: 8)
>>301 -> (arrT: 71; servT: 7)
>>302 -> (arrT: 40; servT: 6)
>>303 -> (arrT: 81; servT: 3)
>>304 -> (arrT: 37; servT: 3)
>>305 -> (arrT: 34; servT: 4)
>>306 -> (arrT: 13; servT: 3)
>>307 -> (arrT: 16; servT: 8)
>>308 -> (arrT: 24; servT: 8)
>>309 -> (arrT: 78; servT: 6)
>>310 -> (arrT: 47; servT: 7)
>>311 -> (arrT: 30; servT: 4)
>>312 -> (arrT: 16; servT: 6)
>>313 -> (arrT: 25; servT: 8)
>>314 -> (arrT: 65; servT: 6)
>>315 -> (arrT: 85; servT: 4)
>>316 -> (arrT: 28; servT: 7)
>>317 -> (arrT: 24; servT: 5)
>>318 -> (arrT: 37; servT: 6)
>>319 -> (arrT: 40; servT: 8)
>>320 -> (arrT: 81; servT: 5)
>>321 -> (arrT: 11; servT: 5)
>>322 -> (arrT: 36; servT: 4)
>>323 -> (arrT: 19; servT: 8)
>>324 -> (arrT: 42; servT: 6)
>>325 -> (arrT: 50; servT: 6)
>>326 -> (arrT: 39; servT: 3)
>>327 -> (arrT: 2; servT: 8)
>>328 -> (arrT: 79; servT: 8)
>>329 -> (arrT: 11; servT: 8)
>>330 -> (arrT: 9; servT: 7)
>>331 -> (arrT: 69; servT: 7)
>>332 -> (arrT: 38; servT: 4)
>>333 -> (arrT: 76; servT: 5)
>>334 -> (arrT: 21; servT: 3)
>>335 -> (arrT: 4; servT: 5)
>>336 -> (arrT: 48; servT: 5)
>>337 -> (arrT: 71; servT: 5)
>>338 -> (arrT: 32; servT: 7)
>>339 -> (arrT: 18; servT: 7)
>>340 -> (arrT: 35; servT: 3)
>>341 -> (arrT: 14; servT: 4)
>>342 -> (arrT: 53; servT: 6)
>>343 -> (arrT: 68; servT: 3)
>>344 -> (arrT: 49; servT: 4)
>>345 -> (arrT: 77; servT: 3)
>>346 -> (arrT: 60; servT: 6)
>>347 -> (arrT: 40; servT: 8)
>>348 -> (arrT: 7; servT: 8)
>>349 -> (arrT: 16; servT: 8)
>>350 -> (arrT: 19; servT: 3)
>>351 -> (arrT: 89; servT: 7)
>>352 -> (arrT: 89; servT: 5)
>>353 -> (arrT: 28; servT: 5)
>>354 -> (arrT: 87; servT: 3)
>>355 -> (arrT: 84; servT: 3)
>>356 -> (arrT: 36; servT: 4)
>>357 -> (arrT: 10; servT: 7)
>>358 -> (arrT: 46; servT: 6)
>>359 -> (arrT: 34; servT: 5)
>>360 -> (arrT: 69; servT: 6)
>>361 -> (arrT: 41; servT: 6)
>>362 -> (arrT: 30; servT: 6)
>>363 -> (arrT: 86; servT: 7)
>>364 -> (arrT: 50; servT: 8)
>>365 -> (arrT: 36; servT: 7)
>>366 -> (arrT: 65; servT: 4)
>>367 -> (arrT: 2; servT: 4)
>>368 -> (arrT: 44; servT: 7)
>>369 -> (arrT: 19; servT: 6)
>>370 -> (arrT: 39; servT: 3)
>>371 -> (arrT: 26; servT: 8)
>>372 -> (arrT: 54; servT: 4)
>>373 -> (arrT: 89; servT: 7)
>>374 -> (arrT: 53; servT: 6)
>>375 -> (arrT: 39; servT: 6)
>>376 -> (arrT: 10; servT: 5)
>>377 -> (arrT: 16; servT: 6)
>>378 -> (arrT: 78; servT: 8)
>>379 -> (arrT: 84; servT: 5)
>>380 -> (arrT: 86; servT: 3)
>>381 -> (arrT: 25; servT: 7)
>>382 -> (arrT: 82; servT: 5)
>>383 -> (arrT: 42; servT: 6)
>>384 -> (arrT: 1; servT: 8)
>>385 -> (arrT: 25; servT: 6)
>>386 -> (arrT: 41; servT: 6)
>>387 -> (arrT: 11; servT: 6)
>>388 -> (arrT: 33; servT: 4)
>>389 -> (arrT: 18; servT: 7)
>>390 -> (arrT: 84; servT: 5)
>>391 -> (arrT: 59; servT: 6)
>>392 -> (arrT: 34; servT: 7)
>>393 -> (arrT: 8; servT: 4)
>>394 -> (arrT: 72; servT: 4)
>>395 -> (arrT: 20; servT: 6)
>>396 -> (arrT: 90; servT: 6)
>>397 -> (arrT: 18; servT: 3)
>>398 -> (arrT: 25; servT: 7)
>>399 -> (arrT: 90; servT: 8)
>>400 -> (arrT: 27; servT: 6)
>>401 -> (arrT: 18; servT: 4)
>>402 -> (arrT: 4; servT: 7)
