100 generated tasks:
1 -> (arrT: 2; servT: 2)
2 -> (arrT: 3; servT: 4)
3 -> (arrT: 0; servT: 3)
4 -> (arrT: 3; servT: 3)
5 -> (arrT: 1; servT: 4)
6 -> (arrT: 0; servT: 3)
7 -> (arrT: 1; servT: 3)
8 -> (arrT: 1; servT: 2)
9 -> (arrT: 0; servT: 3)
10 -> (arrT: 2; servT: 4)
11 -> (arrT: 2; servT: 4)
12 -> (arrT: 3; servT: 4)
13 -> (arrT: 4; servT: 4)
14 -> (arrT: 3; servT: 4)
15 -> (arrT: 0; servT: 3)
16 -> (arrT: 2; servT: 4)
17 -> (arrT: 4; servT: 4)
18 -> (arrT: 1; servT: 3)
19 -> (arrT: 1; servT: 2)
20 -> (arrT: 1; servT: 4)
21 -> (arrT: 2; servT: 3)
22 -> (arrT: 1; servT: 3)
23 -> (arrT: 3; servT: 2)
24 -> (arrT: 3; servT: 4)
25 -> (arrT: 3; servT: 2)
26 -> (arrT: 1; servT: 2)
27 -> (arrT: 3; servT: 4)
28 -> (arrT: 1; servT: 4)
29 -> (arrT: 0; servT: 3)
30 -> (arrT: 2; servT: 4)
31 -> (arrT: 2; servT: 4)
32 -> (arrT: 1; servT: 3)
33 -> (arrT: 3; servT: 4)
34 -> (arrT: 0; servT: 2)
35 -> (arrT: 0; servT: 4)
36 -> (arrT: 2; servT: 2)
37 -> (arrT: 4; servT: 2)
38 -> (arrT: 3; servT: 4)
39 -> (arrT: 3; servT: 4)
40 -> (arrT: 0; servT: 4)
41 -> (arrT: 0; servT: 2)
42 -> (arrT: 1; servT: 2)
43 -> (arrT: 4; servT: 2)
44 -> (arrT: 0; servT: 4)
45 -> (arrT: 0; servT: 3)
46 -> (arrT: 3; servT: 2)
47 -> (arrT: 1; servT: 4)
48 -> (arrT: 4; servT: 2)
49 -> (arrT: 4; servT: 3)
50 -> (arrT: 1; servT: 3)
51 -> (arrT: 1; servT: 4)
52 -> (arrT: 4; servT: 3)
53 -> (arrT: 0; servT: 4)
54 -> (arrT: 3; servT: 4)
55 -> (arrT: 3; servT: 3)
56 -> (arrT: 2; servT: 3)
57 -> (arrT: 3; servT: 3)
58 -> (arrT: 0; servT: 3)
59 -> (arrT: 0; servT: 3)
60 -> (arrT: 1; servT: 2)
61 -> (arrT: 3; servT: 2)
62 -> (arrT: 4; servT: 4)
63 -> (arrT: 2; servT: 4)
64 -> (arrT: 1; servT: 4)
65 -> (arrT: 3; servT: 2)
66 -> (arrT: 0; servT: 3)
67 -> (arrT: 2; servT: 4)
68 -> (arrT: 2; servT: 3)
69 -> (arrT: 1; servT: 4)
70 -> (arrT: 3; servT: 2)
71 -> (arrT: 2; servT: 4)
72 -> (arrT: 3; servT: 3)
73 -> (arrT: 2; servT: 3)
74 -> (arrT: 1; servT: 4)
75 -> (arrT: 2; servT: 4)
76 -> (arrT: 1; servT: 3)
77 -> (arrT: 3; servT: 2)
78 -> (arrT: 4; servT: 2)
79 -> (arrT: 1; servT: 2)
80 -> (arrT: 2; servT: 2)
81 -> (arrT: 1; servT: 4)
82 -> (arrT: 0; servT: 2)
83 -> (arrT: 2; servT: 4)
84 -> (arrT: 0; servT: 2)
85 -> (arrT: 3; servT: 3)
86 -> (arrT: 3; servT: 4)
87 -> (arrT: 4; servT: 3)
88 -> (arrT: 3; servT: 4)
89 -> (arrT: 4; servT: 2)
90 -> (arrT: 3; servT: 3)
91 -> (arrT: 1; servT: 3)
92 -> (arrT: 4; servT: 3)
93 -> (arrT: 4; servT: 4)
94 -> (arrT: 3; servT: 2)
95 -> (arrT: 0; servT: 2)
96 -> (arrT: 4; servT: 3)
97 -> (arrT: 4; servT: 2)
98 -> (arrT: 0; servT: 4)
99 -> (arrT: 1; servT: 2)
100 -> (arrT: 4; servT: 4)
